feature,selection_probability
MDEC-23,0.96114
MDEC-12,0.9416999999999999
AATSC8v,0.93
AATSC6m,0.90408
ATSC8dv,0.8746600000000001
AATSC6v,0.8735200000000001
AATSC7v,0.8686400000000001
AATSC7m,0.8419999999999999
AATSC4m,0.83178
Kier3,0.83036
ATS7v,0.8035599999999999
ATS7Z,0.7902199999999999
ATS7m,0.7896799999999999
EState_VSA5,0.7768
ATS8s,0.77444
MPC9,0.7641800000000001
ATS8pe,0.65522
GGI1,0.6544599999999999
ATS8are,0.65352
ATS8se,0.6469399999999998
AATSC5v,0.64266
ATS8i,0.63142
ATSC2d,0.6176200000000001
ATSC4p,0.59998
ATSC4d,0.5995
Xpc-6d,0.58328
ATSC4i,0.58296
ATSC5i,0.57954
ATSC2dv,0.5758199999999999
C1SP3,0.57054
ATS8d,0.56982
MDEC-22,0.56908
ATSC3m,0.56838
MPC10,0.56752
ATSC3Z,0.5622
AATSC3m,0.55754
EState_VSA3,0.5545
AATSC5m,0.55356
Xpc-5d,0.53912
Xpc-6dv,0.52766
ATSC5p,0.51398
GGI3,0.51114
SsCH3,0.50872
ATSC7d,0.5057
GGI2,0.50362
ATSC1d,0.50262
VSA_EState8,0.50212
ATSC8d,0.5018199999999999
ATSC3i,0.49974
Xpc-5dv,0.49701999999999996
Xpc-4d,0.49526
ATSC3p,0.495
NsCH3,0.48727999999999994
Xpc-4dv,0.47172
ATSC3pe,0.47092
MDEC-11,0.46346
MDEC-34,0.45958
ATSC7s,0.44888
ATSC3are,0.44326
ATSC3v,0.41237999999999997
AATSC3v,0.40801999999999994
VSA_EState7,0.40306
SssCH2,0.40254000000000006
ATSC3s,0.38738
VSA_EState5,0.38264000000000004
ATSC8v,0.37396
ATSC6Z,0.3701
ATSC6m,0.36590000000000006
MDEC-13,0.36443999999999993
ATSC4m,0.36146
ATSC7m,0.36060000000000003
ATSC4Z,0.3604
ATSC7Z,0.36036
ATSC5m,0.36032
ATSC2m,0.36016000000000004
ATSC6v,0.3601
ATSC5v,0.36001999999999995
ATSC2v,0.35997999999999997
ATSC7v,0.35986000000000007
ATSC2Z,0.35980000000000006
SMR_VSA4,0.35978
SlogP_VSA4,0.35975999999999997
ATSC8p,0.35962000000000005
ATSC4are,0.35958
ATSC4pe,0.35954
ATSC6p,0.35952
ATSC5Z,0.3594
ATSC7p,0.35932
ATSC5d,0.35928
ATSC4se,0.35926
ATSC7are,0.35924
ATSC8are,0.35914
ATSC6d,0.35902
ATSC7se,0.35902
ATSC8pe,0.35900000000000004
ATSC8i,0.35884
ATSC6i,0.3588
ATSC7pe,0.3588
ATSC2p,0.35878
ATSC7i,0.35878
ATSC8se,0.35872
ATSC2i,0.35850000000000004
ATSC3d,0.35847999999999997
NssCH2,0.35841999999999996
AATSC2m,0.3583
C3SP3,0.35818
NsssCH,0.35808
AATSC2v,0.35808
ATSC4dv,0.35802
num_CH4,0.35802
C2SP3,0.35796
PEOE_VSA9,0.35792
EState_VSA7,0.35784
PEOE_VSA8,0.35784
ATSC4s,0.35506
ATSC5s,0.35065999999999997
VR1_A,0.34674
VR2_A,0.3467
ATSC1s,0.34630000000000005
MDEC-33,0.34625999999999996
SsssCH,0.34414
