feature,selection_probability
MPC10,0.7906399999999999
MDEC-22,0.76574
EState_VSA3,0.7314799999999999
ATSC8d,0.7243600000000001
MDEC-11,0.7134999999999999
MDEC-23,0.6648
AATSC8v,0.6609400000000001
EState_VSA5,0.6536799999999999
MDEC-13,0.6498999999999999
MDEC-12,0.63926
ATS8d,0.61948
AATSC6m,0.61732
VR2_A,0.61306
VR1_A,0.6128800000000001
Kier3,0.6127400000000001
ATSC8dv,0.60914
MDEC-33,0.6059399999999999
AATSC6v,0.60292
AATSC7v,0.59944
AATSC7m,0.59356
ATS7v,0.59258
ATS7Z,0.58428
ATS7m,0.58424
ATS8s,0.58014
AATSC4m,0.5791000000000001
MPC9,0.5721200000000001
VSA_EState5,0.55838
ATS8pe,0.54744
ATS8are,0.5473399999999999
GGI1,0.5454
ATS8se,0.54338
ATS8i,0.53766
ATSC4p,0.5367000000000001
ATSC2d,0.5347
ATSC4d,0.5274
ATSC3m,0.5263800000000001
ATSC4i,0.52554
ATSC5i,0.5229
SsssCH,0.52176
ATSC3Z,0.51854
Xpc-6d,0.5169400000000001
C1SP3,0.5119799999999999
ATSC2dv,0.5105
AATSC3m,0.5070999999999999
AATSC5v,0.50232
AATSC5m,0.49408
Xpc-5d,0.49391999999999997
ATSC5p,0.48732
Xpc-6dv,0.48692
ATSC3i,0.47859999999999997
ATSC3p,0.47818
ATSC7d,0.47644000000000003
GGI3,0.47628
MDEC-34,0.4746599999999999
SsCH3,0.47367999999999993
GGI2,0.47262
ATSC1d,0.47108000000000005
ATSC4s,0.47082
ATSC3pe,0.46942
VSA_EState8,0.46879999999999994
Xpc-4d,0.46863999999999995
Xpc-5dv,0.46786
NsCH3,0.4637
Xpc-4dv,0.4562
ATSC3are,0.45280000000000004
ATSC3v,0.44323999999999997
NssCH2,0.43745999999999996
VSA_EState7,0.43066000000000004
ATSC5m,0.42983999999999994
AATSC3v,0.4298
SssCH2,0.42918
ATSC8v,0.42888
ATSC5Z,0.42878
ATSC7s,0.42794
C2SP3,0.42664
ATSC6Z,0.4233
ATSC6m,0.4202
ATSC5s,0.41972000000000004
ATSC2v,0.41446
ATSC7se,0.4122
ATSC2p,0.4093
ATSC1s,0.40836
ATSC2i,0.40769999999999995
ATSC7m,0.407
ATSC2m,0.40594
ATSC5v,0.40590000000000004
ATSC8se,0.40586
ATSC7Z,0.4058
ATSC4se,0.40543999999999997
AATSC2v,0.40425999999999995
ATSC6v,0.40421999999999997
ATSC7v,0.4042
ATSC3d,0.40397999999999995
ATSC8pe,0.40397999999999995
ATSC4m,0.40346000000000004
ATSC4pe,0.40306
ATSC7are,0.40230000000000005
SMR_VSA4,0.4021
SlogP_VSA4,0.4021
ATSC2Z,0.40209999999999996
ATSC8p,0.40204
ATSC8are,0.40199999999999997
ATSC3s,0.4019
ATSC7pe,0.40099999999999997
ATSC4are,0.40062
ATSC4Z,0.39952
AATSC2m,0.39818
ATSC6p,0.39813999999999994
ATSC8i,0.39751999999999993
ATSC7p,0.3975
ATSC6d,0.39722
ATSC6i,0.39574
ATSC7i,0.3954
PEOE_VSA8,0.39405999999999997
NsssCH,0.39304
C3SP3,0.39302
ATSC5d,0.3923
EState_VSA7,0.39222
PEOE_VSA9,0.39186
ATSC4dv,0.39164
num_CH4,0.39014000000000004
